path,label
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000888_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000535_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000060_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/fake/frame_000083_face00.jpg,fake
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000851_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000145_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000954_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000913_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000269_face01.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000270_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000467_face01.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000595_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000564_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/fake/frame_000125_face01.jpg,fake
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000378_face01.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000910_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000750_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/fake/frame_000008_face00.jpg,fake
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000535_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000354_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000283_face01.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/fake/frame_000033_face00.jpg,fake
/Users/abish/Desktop/deepfake-detector/data/dataset/fake/frame_000135_face00.jpg,fake
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000184_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000310_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000149_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000992_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/BigBuckBunny_frame_000402_face00.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/real/ElephantsDream_frame_000620_face01.jpg,real
/Users/abish/Desktop/deepfake-detector/data/dataset/fake/frame_000058_face00.jpg,fake
