frame,face_id,x1,y1,x2,y2,prob_fake,prob_real
frame_000002.jpg,0,496,116,691,366,0.9858922362327576,0.014107796363532543
frame_000003.jpg,0,506,122,696,377,0.9999489784240723,5.0976770580746233e-05
frame_000004.jpg,0,509,127,688,371,0.9999699592590332,3.0008135581738316e-05
frame_000005.jpg,0,497,125,685,361,0.9999876022338867,1.2357781088212505e-05
frame_000006.jpg,0,495,122,685,380,0.9999860525131226,1.3967486665933393e-05
frame_000007.jpg,0,501,131,681,381,0.9999830722808838,1.696649815130513e-05
frame_000008.jpg,0,504,129,685,383,0.9999924898147583,7.539175840065582e-06
frame_000009.jpg,0,511,133,696,388,0.9999974966049194,2.4770690743025625e-06
frame_000010.jpg,0,509,127,692,384,0.9999897480010986,1.026342488330556e-05
frame_000011.jpg,0,470,143,656,390,0.9999895095825195,1.0470892448211089e-05
frame_000012.jpg,0,464,130,654,379,0.9999960660934448,3.940336227969965e-06
frame_000013.jpg,0,477,129,662,370,0.9999978542327881,2.08944993573823e-06
frame_000014.jpg,0,479,139,662,384,0.9999898672103882,1.015849193208851e-05
frame_000015.jpg,0,486,137,667,387,0.9999682903289795,3.172270589857362e-05
frame_000016.jpg,0,494,131,680,381,0.9999855756759644,1.4455232303589582e-05
frame_000017.jpg,0,505,128,689,375,0.9998960494995117,0.00010388094960944727
frame_000018.jpg,0,510,131,699,391,0.9998119473457336,0.0001880194031400606
frame_000019.jpg,0,504,116,695,371,0.9999282360076904,7.177048246376216e-05
frame_000020.jpg,0,494,112,683,360,0.9999896287918091,1.0380821549915709e-05
frame_000021.jpg,0,498,120,679,367,0.9999899864196777,1.005767990136519e-05
frame_000022.jpg,0,497,119,681,365,0.9999895095825195,1.0523640412429813e-05
frame_000023.jpg,0,505,134,689,384,0.999984622001648,1.538447759230621e-05
frame_000024.jpg,0,508,136,693,396,0.9999873638153076,1.2688604329014197e-05
frame_000025.jpg,0,510,131,701,396,0.9999086856842041,9.130773833021522e-05
frame_000026.jpg,0,511,123,703,385,0.9999960660934448,3.963960807595868e-06
frame_000027.jpg,0,515,125,705,390,0.9999852180480957,1.4772557733522262e-05
frame_000028.jpg,0,516,128,701,382,0.9999468326568604,5.321800199453719e-05
frame_000029.jpg,0,514,127,705,388,0.9999611377716064,3.8842255889903754e-05
frame_000030.jpg,0,509,125,698,381,0.9999971389770508,2.8585152449522866e-06
frame_000031.jpg,0,502,122,685,378,0.9999866485595703,1.333464024355635e-05
frame_000032.jpg,0,503,127,692,369,0.9999818801879883,1.8061462469631806e-05
frame_000033.jpg,0,505,126,691,379,0.999955415725708,4.4559757952811196e-05
frame_000034.jpg,0,512,148,695,399,0.9999955892562866,4.400189482112182e-06
frame_000035.jpg,0,516,144,706,402,0.9999288320541382,7.120399095583707e-05
frame_000036.jpg,0,513,138,701,395,0.9999867677688599,1.3217831110523548e-05
frame_000037.jpg,0,512,137,696,397,0.9999927282333374,7.29480689187767e-06
frame_000038.jpg,0,506,132,698,396,0.9999825954437256,1.745532063068822e-05
